Kepler ID,KOI Name,Kepler Disposition,NExScI Disposition,RA (J2000),Dec (J2000),Time of Transit Epoch,Period,Transit Depth,Duration,Ingress Duration,Impact Parameter,Inclination,Semi-major Axis,Eccentricity,Long of Periastron,r/R,a/R,Planet Radius,Teq,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Age,Provenance,Quarters,Transit Number,KOI count,Binary Discrimination,Transit Model,Transit Model SNR,Transit Model DOF,Transit Model chisq,Last vet Update,,,
integer,string,string,string,ra,dec,double,double,real,double,double,float,float,float,real,float,float,float,float,integer,integer,float,float,float,float,float,string,string,integer,integer,float,string,real,float,float,datetime,,,
1849702,K02538.01,CANDIDATE,CANDIDATE,19 05 08.628,+37 23 13.41,155.6399,39.83101,520,3.9937,,0.999,87.66,0.213,0,,0.042,22.5,3.3,418,5178,4.64,,0.713,0.814,0.7,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),15.3,,2.47,10/25/13 0:00
1865042,K01002.01,CANDIDATE,CANDIDATE,19 22 43.740,+37 21 18.40,132.9944,3.481538,143,1.7906,,0.79,85.37,0.045,0,,0.012,9.5,1.36,1146,5481,4.42,,1.012,0.976,7.5,SPC,,,1,,Mandel and Agol (2002, ApJ,580, 171),26.3,,1.14,10/25/13 0:00
1871056,K01001.01,CANDIDATE,CANDIDATE,19 28 10.708,+37 22 34.46,155.7178,40.80686,316,14.048,,0.805,86.52,0.258,0,,0.018,13.9,4.8,843,6235,3.8,,2.43,1.37,3.17,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),60.7,,1.24,10/25/13 0:00
1871056,K01001.02,CANDIDATE,CANDIDATE,19 28 10.708,+37 22 34.46,216.245,140.0914,182,18.3036,,0.859,88.24,0.586,0,,0.014,32,3.74,560,6235,3.8,,2.43,1.37,3.17,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),23.2,,1.21,10/25/13 0:00
1872821,K02351.01,CANDIDATE,CANDIDATE,19 29 42.620,+37 19 14.91,134.6499,10.27402,381,4.0484,,0.847,85.37,0.091,0,,0.021,11.1,1.9,767,5705,4.56,,0.85,0.95,0.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),22.8,,1.06,10/25/13 0:00
1995519,K02634.01,CANDIDATE,CANDIDATE,19 04 36.035,+37 24 40.93,142.3491,19.9399,823,3.9117,,0.56,88.81,0.141,0,,0.027,34,2.45,606,5658,4.57,,0.83,0.938,0.4,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),18.1,,1.05,10/25/13 0:00
1995732,K03351.01,FALSE POSITIVE,FALSE POSITIVE,19 04 51.841,+37 25 30.86,139.09381,77.36264,109968,12.185,23,0.97,88.99,0.335,0,,0.5,55.3,43,361,,,,0.783,,,,,13,1,0.428,mandel-agol_geometric_transit_model,900,838.52,1181.89,7/31/13 0:00,,,
1996180,K02534.01,CANDIDATE,CANDIDATE,19 05 22.632,+37 24 43.08,134.3708,3.025534,111,3.0542,,0.72,82.51,0.042,0,,0.01,5.4,1.15,1344,6176,4.46,,1.02,1.09,0.9,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),23.8,,1.16,10/25/13 0:00
1996180,K02534.02,CANDIDATE,CANDIDATE,19 05 22.632,+37 24 43.08,133.4557,5.42213,90,2.7756,,0.86,83.65,0.062,0,,0.01,8,1.11,1106,6176,4.46,,1.02,1.09,0.9,Pinsonneault,,,2,,Mandel and Agol (2002, ApJ,580, 171),13.3,,1.21,10/25/13 0:00
1996399,K01026.01,FALSE POSITIVE,FALSE POSITIVE,19 05 37.998,+37 25 36.34,184.991,94.1063,214,17.2113,,0.813,88.24,0.328,0,,0.015,25,0.83,217,3952,4.75,,0.51,0.53,13.9,Pinsonneault,,,1,,Mandel and Agol (2002, ApJ,580, 171),7.7,,1.65,10/25/13 0:00
